partyCode,partyName,name,familyName,givenName,sitting,electorateCode,electorateState,electorateName,electorateChamber
LIB,Liberal,Steve Irons,Irons,Steve,1,swan,WA,Swan,house
CEC,Citizens Electoral Council,Craig Isherwood,Isherwood,Craig,0,svic,VIC,Victoria,senate
ALP,Labor Party,Sophie Ismail,Ismail,Sophie,0,melb,VIC,Melbourne,house
AJP,Animal Justice Party,Tyson Jack,Jack,Tyson,0,dunk,VIC,Dunkley,house
ALP,Labor Party,Norm Jacobsen,Jacobsen,Norm,0,kenn,QLD,Kennedy,house
AFN,Australia First,Sue Jakobi,Jakobi,Sue,0,lalo,VIC,Lalor,house
GRN,Greens,Eliza James,James,Eliza,0,chif,NSW,Chifley,house
GRN,Greens,Ian James,James,Ian,0,dura,WA,Durack,house
SCP,Science Party,Luke James,James,Luke,0,svic,VIC,Victoria,senate
TAP,Arts Party,Frances Jankowski,Jankowski,Frances,0,sqld,QLD,Queensland,senate
AUC,Australian Christians,Vickie Janson,Janson,Vickie,0,svic,VIC,Victoria,senate
SCP,Science Party,James Jansson,Jansson,James,0,snsw,NSW,New South Wales,senate
IND,Independent,Rex Granites Japanangka,Japanangka,Rex Granites,0,ling,NT,Lingiari,house
GRN,Greens,Dawn Jecks,Jecks,Dawn,0,bran,WA,Brand,house
AJP,Animal Justice Party,Helen Jeges,Jeges,Helen,0,hoth,VIC,Hotham,house
SAL,Socialist Alliance,Chris Jenkins,Jenkins,Chris,0,frem,WA,Fremantle,house
ALP,Australian Labor Party,Jess Jennings,Jennings,Jess,0,cala,NSW,Calare,house
IND,Independent,Dennis Jensen,Jensen,Dennis,1,tang,WA,Tangney,house
LIB,Liberal Party,Chris Jermyn,Jermyn,Chris,0,mcew,VIC,McEwen,house
FFP,Family First,Phil Jobe,Jobe,Phil,0,snsw,NSW,New South Wales,senate
LIB,Liberal Party of Australia,David Johnston,Johnston,David,1,swa,WA,Western Australia,senate
AJP,Animal Justice Party,Elizabeth Johnston,Johnston,Elizabeth,0,isaa,VIC,Isaacs,house
GRN,Greens,Adrian Jones,Jones,Adrian,0,brfd,NSW,Bradfield,house
ALA,Australian Liberty Alliance,Daniel Jones,Jones,Daniel,0,svic,VIC,Victoria,senate
LNP,Liberal National Party of Queensland,Ewen Jones,Jones,Ewen,1,herb,QLD,Herbert,house
VEP,Voluntary Euthanasia Party,Miranda Jones,Jones,Miranda,0,svic,VIC,Victoria,senate
ALP,Labor,Stephen Jones,Jones,Stephen,1,whit,NSW,Whitlam,house
ASXP,Australian Sex Party,Timothy Jones,Jones,Timothy,0,snt,NT,Northern Territory,senate
GRN,The Greens,Natalie Abboud,Abboud,Natalie,0,calw,VIC,Calwell,house
ODD,Online Direct Democracy,LB Joum,Joum,LB,0,fish,QLD,Fisher,house
NAT,The Nationals,Barnaby Joyce,Joyce,Barnaby,1,neng,NSW,New England,house
NXT,Nick Xenophon Team,Skye Kakoschke-Moore,Kakoschke-Moore,Skye,0,ssa,SA,South Australia,senate
FFP,Family First Party,Cheryl Kaminski,Kaminski,Cheryl,0,grey,SA,Grey,house
CDP,Christian Democratic Party,Chris Kang,Kang,Chris,0,reid,NSW,Reid,house
KAP,Katter's Australian Party,Bob Katter,Katter,Bob,1,kenn,QLD,Kennedy,house
ALP,Labor Party,Carl Katter,Katter,Carl,0,higg,VIC,Higgins,house
HMP,Help End Marijuana Prohibition,Andrew Kavasilas,Kavasilas,Andrew,0,snt,NT,Northern Territory,senate
FLX,Flux.org,Max Kaye,Kaye,Max,0,stas,TAS,Tasmania,senate
LIB,Liberal Party,Yvonne Keane,Keane,Yvonne,0,gree,NSW,Greenway,house
PIR,Pirate Party Australia,Sam Kearns,Kearns,Sam,0,snsw,NSW,New South Wales,senate
ALP,Labor Party,Justine Keay,Keay,Justine,0,brad,TAS,Braddon,house
ONP,Pauline Hanson's One Nation,Lynette Keehn,Keehn,Lynette,0,mara,QLD,Maranoa,house
LIB,Liberal,Michael Keenan,Keenan,Michael,1,stir,WA,Stirling,house
TAP,Arts Party,Barry Keldoulis,Keldoulis,Barry,0,snsw,NSW,New South Wales,senate
LIB,Liberal,Craig Kelly,Kelly,Craig,1,hugh,NSW,Hughes,house
ALP,Labor Party,Mike Kelly,Kelly,Mike,0,emon,NSW,Eden-Monaro,house
LIB,Liberal Party,Pierrette Kelly,Kelly,Pierrette,0,frem,WA,Fremantle,house
KAP,Katter's Australian Party,Brad Kennedy,Kennedy,Brad,0,long,QLD,Longman,house
ALP,Australian Labor Party,Steve Kent,Kent,Steve,0,svic,VIC,Victoria,senate
ALP,Labor Party,Matthew Keogh,Keogh,Matthew,0,burt,WA,Burt,house
ALP,Labor Party,Eric Kerr,Kerr,Eric,0,indi,VIC,Indi,house
ACP,Australian Country party,Garry Kerr,Kerr,Garry,0,svic,VIC,Victoria,senate
GRN,Greens,Thor Kerr,Kerr,Thor,0,tang,WA,Tangney,house
ALP,Labor Party,David Kerrigan,Kerrigan,David,0,mara,QLD,Maranoa,house
ALP,Australian Labor Party,Chris Ketter,Ketter,Chris,1,sqld,QLD,Queensland,senate
ODD,Online Direct Democracy,Paul Keyworth,Keyworth,Paul,0,sqld,QLD,Queensland,senate
ALP,Australian Labor Party,Peter Khalil,Khalil,Peter,0,will,VIC,Wills,house
21CP,21st Century Party,Ammar Khan,Khan,Ammar,0,chif,NSW,Chifley,house
CDP,Christian Democratic Party,Russell Kilarney,Kilarney,Russell,0,rich,NSW,Richmond,house
CDP,Christian Democratic Party,David Kim,Kim,David,0,sact,ACT,A.C.T.,senate
ALP,Australian Labor Party,Catherine King,King,Catherine,1,ball,VIC,Ballarat,house
ALP,Australian Labor Party,Madeleine King,King,Madeleine,0,bran,WA,Brand,house
LNP,LNP,David Kingston,Kingston,David,0,lill,QLD,Lilley,house
NXT,Nick Xenophon Team,Daniel Kirk,Kirk,Daniel,0,hind,SA,Hindmarsh,house
LDP,Liberal Democratic Party,Graeme Klass,Klass,Graeme,0,swa,WA,Western Australia,senate
GRN,Greens,Elise Klein,Klein,Elise,0,svic,VIC,Victoria,senate
ALP,Labor Party,Paul Klisaris,Klisaris,Paul,0,asto,VIC,Aston,house
LIB,Liberal Party of Australia,Eric Abetz,Abetz,Eric,1,stas,TAS,Tasmania,senate
VEP,Voluntary Euthanasia Party,Jessica Knight,Knight,Jessica,0,ssa,SA,South Australia,senate
CEC,Citizens Electoral Council,Alex Kozlow,Kozlow,Alex,0,ssa,SA,South Australia,senate
LIB,Liberal Party,Helen Kroger,Kroger,Helen,0,bruc,VIC,Bruce,house
CEC,Citizens Electoral Council,Stephen Kucina,Kucina,Stephen,0,stas,TAS,Tasmania,senate
AMEP,Australian Motoring Enthusiast Party,Judith Kuerschner,Kuerschner,Judith,0,ssa,SA,South Australia,senate
LIB,Liberal Party,Mohit Kumar,Kumar,Mohit,0,chif,NSW,Chifley,house
ALP,Australian Labor Party,Christian Kunde,Kunde,Christian,0,farr,NSW,Farrer,house
ALP,Australian Labor Party,Tim Kurylowicz,Kurylowicz,Tim,0,rive,NSW,Riverina,house
GRN,Greens,Daniel Kwon,Kwon,Daniel,0,fadd,QLD,Fadden,house
CEC,Citizens Electoral Council,Chris Lahy,Lahy,Chris,0,mall,VIC,Mallee,house
ALP,Labor Party,Susan Lamb,Lamb,Susan,0,long,QLD,Longman,house
JLN,Jacqui Lambie Network,Jacqui Lambie,Lambie,Jacqui,1,stas,TAS,Tasmania,senate
LNP,Liberal National Party of Queensland,Andrew Laming,Laming,Andrew,1,bowm,QLD,Bowman,house
GRN,The Greens,Donna Lancaster,Lancaster,Donna,0,mcmi,VIC,McMillan,house
LNP,Liberal National Party of Queensland,Michelle Landry,Landry,Michelle,1,capr,QLD,Capricornia,house
LIB,Liberal Party,Daryl Lang,Lang,Daryl,0,gort,VIC,Gorton,house
LIB,Liberal Party,Richard Lange,Lange,Richard,0,cori,VIC,Corio,house
CDP,Christian Democratic Party,Phillip Langfield,Langfield,Phillip,0,rive,NSW,Riverina,house
IND,Independent,Alan Lappin,Lappin,Alan,0,indi,VIC,Indi,house
ACP,Australian Country party,Phil Larkin,Larkin,Phil,0,svic,VIC,Victoria,senate
LIB,Liberal,Craig Laundy,Laundy,Craig,1,reid,NSW,Reid,house
ALP,Labor Party,Linda Lavarch,Lavarch,Linda,0,dick,QLD,Dickson,house
AJP,Animal Justice Party,Rosemary Lavin,Lavin,Rosemary,0,asto,VIC,Aston,house
CEC,Citizens Electoral Council,Ann Lawler,Lawler,Ann,0,snsw,NSW,New South Wales,senate
HMP,Help End Marijuana Prohibition,Lance Lawrence,Lawrence,Lance,0,solo,NT,Solomon,house
CDP,Christian Democratic Party,Wayne Lawrence,Lawrence,Wayne,0,cowp,NSW,Cowper,house
ALP,Australian Labor Party,Tim Lawson,Lawson,Tim,0,hink,QLD,Hinkler,house
GLT,Glenn Lazarus Team,Glenn Lazarus,Lazarus,Glenn,1,sqld,QLD,Queensland,senate
CDP,Christian Democratic Party,Archie Lea,Lea,Archie,0,neng,NSW,New England,house
ALP,Labor Party,Bill Leadbetter,Leadbetter,Bill,0,hasl,WA,Hasluck,house
ASXP,Australian Sex Party,Martin Leahy,Leahy,Martin,0,ltro,VIC,La Trobe,house
IND,Independent,Leon Lechner,Lechner,Leon,0,bris,QLD,Brisbane,house
NXT,Nick Xenophon Team,Justin Lee,Lee,Justin,0,svic,VIC,Victoria,senate
LIB,Liberal Party,Julian Leeser,Leeser,Julian,0,bero,NSW,Berowra,house
FLX,Flux,Danielle Lehrer,Lehrer,Danielle,0,svic,VIC,Victoria,senate
ALP,Australian Labor Party,Andrew Leigh,Leigh,Andrew,1,fenn,ACT,Fenner,house
AJP,Animal Justice Party,Doug Leith,Leith,Doug,0,bruc,VIC,Bruce,house
21CP,21st Century Party,Kade Lengyel,Lengyel,Kade,0,isaa,VIC,Isaacs,house
SCP,Science Party,Andrea Leong,Leong,Andrea,0,ksmi,NSW,Kingsford Smith,house
SAL,Socialist Alliance,Sharlene Leroy-Dyer,Leroy-Dyer,Sharlene,0,snsw,NSW,New South Wales,senate
LIB,Liberal,Sussan Ley,Ley,Sussan,1,farr,NSW,Farrer,house
LDP,Liberal Democrats,David Leyonhjelm,Leyonhjelm,David,1,snsw,NSW,New South Wales,senate
LIB,Liberal Party of Australia,Kerrynne Liddle,Liddle,Kerrynne,0,ssa,SA,South Australia,senate
CLP,Country Liberal Party of Australia Party,Jenni Lillis,Lillis,Jenni,0,snt,NT,Northern Territory,senate
KAP,Katter's Australian Party,Shan Ju Lin,Lin,Shan Ju,0,more,QLD,Moreton,house
CDP,Christian Democratic Party,Catherine Lincoln,Lincoln,Catherine,0,macq,NSW,Macquarie,house
LNP,Liberal National Party,Joanna Lindgren,Lindgren,Joanna,1,sqld,QLD,Queensland,senate
GRN,Greens,Daniel Lindley,Lindley,Daniel,0,moor,WA,Moore,house
ALP,Australian Labor Party,Sue Lines,Lines,Sue,1,swa,WA,Western Australia,senate
LDP,Liberal Democratic Party,Matthew Linney,Linney,Matthew,0,bonn,QLD,Bonner,house
